Area,2013,2014,2015,2016,2017,2018,2019
Highlands and Islands Enterprise,215,240,290,310,295,275,250
South of Scotland Enterprise,105,100,140,145,150,125,135
Scottish Enterprise,1100,1320,1690,1800,1810,1595,1660
