Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Highlands and Islands Enterprise,36.54,35.55,31.34,30.22,32.82,36.68,34.80,31.71,38.04,34.64,34.32,39.47,40.67,41.85,36.58
South of Scotland Enterprise,32.60,32.10,31.22,25.16,33.42,34.44,34.34,31.69,34.87,28.98,32.35,35.06,31.84,34.50,27.98
Scottish Enterprise,35.56,32.43,29.71,28.29,29.91,34.84,35.01,31.90,37.73,33.79,35.45,41.43,41.94,46.96,42.67
