Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Highlands and Islands Enterprise,0.08,0.09,0.09,0.09,0.09,0.09,0.10,0.10,0.10,0.10
South of Scotland Enterprise,0.09,0.10,0.09,0.09,0.10,0.10,0.09,0.09,0.11,0.11
Scottish Enterprise,0.16,0.17,0.17,0.18,0.17,0.18,0.18,0.18,0.18,0.19
