Area,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Highlands and Islands Enterprise,13007,13659,14039,14800,15105,16413,17560,18559,19291,19602,20609,20584,20859,21837,22258,22884,23518,23499,23849,25200,25498
South of Scotland Enterprise,11068,11171,11663,12217,12520,12929,13422,13318,14239,14251,14767,14538,14535,14871,15320,16312,17121,17114,17909,18901,19352
Scottish Enterprise,14070,14208,14783,15579,16359,17277,18303,19342,20638,21401,22122,21949,21668,22053,22705,23730,24686,24848,25188,25866,26583
