Area,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Highlands and Islands Enterprise,247000,241000,240000,234000,241000,248000,245000,249000,246000,248000
South of Scotland Enterprise,113000,111000,115000,108000,110000,114000,113000,115000,113000,116000
Scottish Enterprise,2184000,2103000,2138000,2106000,2130000,2199000,2206000,2222000,2213000,2248000
