Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Highlands and Islands Enterprise,11100,11000,10100,10900,11400,10100,11900,11300,12600,13400,12900,12000,12800,13100,13700,11500
South of Scotland Enterprise,4500,4300,5100,5600,6300,5300,5600,6600,6900,7400,7200,8300,7800,7800,8400,8200
Scottish Enterprise,50500,53400,58700,59500,63100,67200,66600,66300,74700,73400,81700,82400,93200,89700,80800,97300
