Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Highlands and Islands Enterprise,1005,1235,1050,1085,1040,885,815,945,1015,1245,1190,1075
South of Scotland Enterprise,515,635,515,565,480,425,365,475,410,530,525,455
Scottish Enterprise,7725,8975,8335,10240,8415,7545,7685,9210,9355,11605,11110,10540
