Area,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Highlands and Islands Enterprise,452680,454240,456160,458800,459630,459010,457950,457150,456780,455160,454850,456150,459320,463090,467750,472030,476370,480220,482520,484920,487480,485030,487500,487550,488450,489920,489800,489330,489430
South of Scotland Enterprise,251000,252190,252980,253580,254460,254380,254480,254780,254040,253790,254730,255200,256250,258150,259870,260630,262570,264370,264750,264800,265290,264560,264160,264000,263700,264050,264220,264060,264370
Scottish Enterprise,4379650,4379190,4383320,4389830,4389600,4378800,4370910,4365140,4361130,4353990,4354620,4354650,4352930,4363060,4382580,4400340,4431060,4458310,4484630,4512480,4547130,4564010,4576040,4596050,4620850,4650730,4670780,4684710,4709500
