Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Highlands and Islands Enterprise,0.03,0.03,0.03,0.03,0.02,0.03,0.04,0.03,0.03,0.04
South of Scotland Enterprise,0.03,0.04,0.03,0.04,0.04,0.05,0.05,0.03,0.04,0.04
Scottish Enterprise,0.06,0.06,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07
