Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Highlands and Islands Enterprise,38.67,48.40,39.50,42.00,39.80,34.79,33.80,36.06,38.54,45.52,45.55,43.90,43.74,42.71,39.39
South of Scotland Enterprise,35.67,43.34,35.18,39.94,34.33,29.65,28.66,31.69,28.76,37.58,39.59,34.38,34.77,30.45,31.36
Scottish Enterprise,34.18,39.53,35.47,43.03,37.91,34.35,36.37,39.33,40.25,49.76,48.59,50.04,51.09,47.39,47.03
