Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Highlands and Islands Enterprise,0.53,0.53,0.54,0.54,0.53,0.53,0.52,0.52,0.52,0.52
South of Scotland Enterprise,0.56,0.56,0.57,0.57,0.57,0.57,0.56,0.56,0.55,0.55
Scottish Enterprise,0.32,0.32,0.33,0.33,0.34,0.34,0.34,0.34,0.34,0.34
