Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Highlands and Islands Enterprise,33700,33400,35300,33500,34200,31800,36300,35500,36700,38900,37600,34100,38300,35700,39200,36700
South of Scotland Enterprise,19100,18500,19600,20000,21000,20700,20100,20300,22700,23000,23700,23600,23700,24600,24600,24300
Scottish Enterprise,194300,191600,209300,210500,213400,212700,214900,228100,242300,225900,241200,240400,267300,264900,257500,268700
