Area,2004,2005,2006,20073,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Highlands and Islands Enterprise,1455,1845,1525,1640,1570,1380,1350,1450,1545,1840,1845,1785,1785,1745,1610
South of Scotland Enterprise,755,925,755,865,750,650,630,700,635,830,875,760,770,675,695
Scottish Enterprise,12165,14165,12790,15660,13905,12695,13550,14790,15205,18865,18515,19180,19715,18375,18285
