Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Highlands and Islands Enterprise,0.012,0.012,0.012,0.012,0.012,0.012,0.013,0.014,0.014,0.014,0.014,0.014,0.016,0.014,0.016,0.016
South of Scotland Enterprise,0.016,0.016,0.017,0.018,0.019,0.019,0.02,0.021,0.021,0.02,0.02,0.02,0.022,0.023,0.025,0.025
Scottish Enterprise,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.005,0.006
