Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Highlands and Islands Enterprise,105,100,105,115,105,115,120,130,145,165
South of Scotland Enterprise,55,50,55,60,60,65,65,60,65,70
Scottish Enterprise,755,780,815,835,880,915,945,975,1030,1145
