Area,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Highlands and Islands Enterprise,356825,358676,360566,362978,364452,364690,364994,364860,365275,364915,365868,368349,372189,376255,381189,386114,390498,394521,396668,399380,402140,400866,404202,405012,406609,408127,408575,408721,409309
South of Scotland Enterprise,202647,203683,203988,204305,205071,205169,205380,205697,205280,205435,206795,207847,209379,211687,213410,214582,216593,218459,219232,219856,220883,220807,220865,221004,221049,221434,221707,221590,222104
Scottish Enterprise,3502909,3501073,3500231,3502424,3505612,3503347,3502951,3503924,3505999,3507827,3521163,3532019,3540827,3558613,3583560,3606072,3639262,3668279,3695773,3725144,3760774,3777301,3791054,3810543,3833080,3859222,3877076,3888287,3910490
