Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Highlands and Islands Enterprise,0.103,0.101,0.091,0.097,0.103,0.09,0.105,0.102,0.115,0.122,0.116,0.104,0.111,0.112,0.117,0.103
South of Scotland Enterprise,0.079,0.076,0.086,0.094,0.104,0.088,0.094,0.115,0.121,0.128,0.121,0.136,0.137,0.131,0.148,0.136
Scottish Enterprise,0.051,0.053,0.057,0.058,0.061,0.065,0.065,0.065,0.073,0.071,0.077,0.076,0.086,0.081,0.073,0.086
