Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Highlands and Islands Enterprise,21590,21375,21935,21855,22305,22545,22760,22745,22780,22985
South of Scotland Enterprise,11835,11720,11855,11665,11940,11930,11880,11835,11835,11870
Scottish Enterprise,123085,122740,127275,128005,133770,137350,140840,143310,143205,145445
