Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Highlands and Islands Enterprise,1375,1355,1210,1180,1295,1455,1390,1275,1525,1400,1390,1605,1660,1710,1495
South of Scotland Enterprise,690,685,670,545,730,755,755,700,770,640,715,775,705,765,620
Scottish Enterprise,12655,11620,10715,10295,10970,12875,13040,11995,14250,12810,13510,15880,16185,18205,16590
