Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Highlands and Islands Enterprise,240,240,265,275,280,290,285,300,345,360
South of Scotland Enterprise,130,125,130,135,140,145,145,145,160,180
Scottish Enterprise,1875,1910,2025,2050,2125,2195,2190,2225,2455,2690
