Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Highlands and Islands Enterprise,0.69,0.67,0.69,0.66,0.66,0.64,0.60,0.65,0.66,0.68,0.64,0.60
South of Scotland Enterprise,0.68,0.69,0.68,0.65,0.64,0.65,0.58,0.68,0.65,0.68,0.64,0.60
Scottish Enterprise,0.64,0.63,0.65,0.65,0.61,0.59,0.57,0.62,0.62,0.68,0.64,0.60
