Area,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Highlands and Islands Enterprise,285964,287194,288647,290446,291254,291077,290668,289968,289649,288503,288412,289905,292431,295142,298272,301922,304517,306304,306259,307110,307773,303074,303596,301450,301117,300732,299334,297728,296408
South of Scotland Enterprise,157544,157984,157983,158078,158452,158268,158287,158255,157625,157435,158125,158470,159321,160765,161741,162504,163653,164329,163909,163662,163619,161525,160106,158889,157960,157284,156599,155608,154918
Scottish Enterprise,2848425,2844461,2842760,2843891,2843398,2838845,2835344,2833679,2834208,2832754,2840108,2846976,2852112,2865388,2885828,2904567,2932154,2952865,2970930,2991386,3016041,3008634,3005521,3007770,3018663,3031915,3038858,3039148,3046432
