Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Highlands and Islands Enterprise,232900,232500,237700,242000,244100,245200,242900,239400,233200,237200,243500,244800,242300,245200,244800,242000
South of Scotland Enterprise,124700,123900,127100,126800,127100,125300,120400,117800,117300,120100,124900,125800,122900,125100,118900,123300
Scottish Enterprise,2072300,2097400,2135000,2159600,2162800,2127200,2116400,2119100,2131300,2137800,2190400,2212300,2231000,2268600,2274700,2298600
