Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Highlands and Islands Enterprise,0.015,0.015,0.014,0.015,0.015,0.015,0.016,0.017,0.018,0.018,0.018,0.018,0.019,0.018,0.02,0.02
South of Scotland Enterprise,0.017,0.018,0.019,0.02,0.022,0.021,0.022,0.025,0.024,0.024,0.023,0.024,0.028,0.027,0.031,0.03
Scottish Enterprise,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.006,0.007
