Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Highlands and Islands Enterprise,9500,9600,9700,8400,9000,11500,12400,14100,12500,12900,11100,9600,9200,8300,7400,6900
South of Scotland Enterprise,4800,5100,5500,4900,5500,7000,7700,9000,9100,8300,6800,5800,5400,4000,3800,3900
Scottish Enterprise,122800,122800,121400,111300,115600,167200,185400,198200,193300,188000,151900,143900,115800,99600,106000,85000
