Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City Region,0.068,0.054,0.062,0.059,0.072,0.064,0.073,0.074,0.07,0.054,0.077,0.058,0.097,0.117,0.093,0.084
Glasgow City Region,0.041,0.04,0.043,0.047,0.055,0.057,0.049,0.053,0.065,0.061,0.063,0.068,0.069,0.062,0.061,0.068
Edinburgh and South East Scotland City Region,0.056,0.067,0.072,0.067,0.068,0.078,0.083,0.077,0.084,0.085,0.094,0.092,0.098,0.081,0.081,0.104
"Stirling, Clackmannanshire and Falkirk Region",0.062,0.065,0.062,0.063,0.048,0.06,0.07,0.065,0.077,0.082,0.082,0.071,0.09,0.088,0.058,0.086
Tay Cities Region,0.053,0.065,0.072,0.067,0.065,0.073,0.064,0.073,0.071,0.073,0.095,0.091,0.095,0.091,0.082,0.111
Highlands and Islands,0.103,0.101,0.091,0.097,0.103,0.09,0.105,0.102,0.115,0.122,0.116,0.104,0.111,0.112,0.117,0.103
Ayrshires,0.051,0.049,0.052,0.063,0.062,0.062,0.071,0.076,0.078,0.086,0.081,0.078,0.092,0.1,0.082,0.085
South of Scotland,0.079,0.076,0.086,0.094,0.104,0.088,0.094,0.115,0.121,0.128,0.121,0.136,0.137,0.131,0.148,0.136
