Area,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City Region,343362,348088,352116,354895,356334,357138,356331,356035,356962,356615,356588,358101,360005,362779,366949,371562,377525,381450,386589,391542,396375,399832,403597,407270,409603,408972,407217,405164,405441
Glasgow City Region,1447078,1439144,1431653,1427859,1422267,1417276,1412369,1409108,1406049,1402897,1409310,1411769,1412048,1415248,1420109,1424413,1433661,1443578,1453607,1463094,1474196,1477339,1479600,1485334,1493259,1505157,1513321,1518977,1528429
Edinburgh and South East Scotland City Region,966654,966658,969178,972222,977211,978629,982155,986354,990284,996915,1003231,1008271,1011797,1019369,1029400,1038238,1049605,1059303,1067395,1077028,1089736,1096828,1103044,1110697,1120105,1132942,1142746,1150505,1160851
"Stirling, Clackmannanshire and Falkirk Region",216872,216929,217103,217664,218413,219602,220846,221799,223027,223783,224657,226430,228111,230050,232697,234850,237472,239084,240380,241934,244436,245584,246542,247498,249793,251604,252806,253346,254165
Tay Cities Region,591513,593973,595333,595821,597262,595475,595692,595849,596044,596779,598392,600914,603754,607795,613311,617849,622884,627701,631559,635695,642035,644916,646724,649126,650969,653620,655428,655823,658858
Highlands and Islands,356825,358676,360566,362978,364452,364690,364994,364860,365275,364915,365868,368349,372189,376255,381189,386114,390498,394521,396668,399380,402140,400866,404202,405012,406609,408127,408575,408721,409309
Ayrshires,297698,297620,297427,297138,297605,297381,297685,297610,297026,296260,296982,297410,298528,300235,301492,302551,304431,305977,306792,307969,309361,309229,309111,308769,308405,308413,308629,308133,308231
South of Scotland,202647,203683,203988,204305,205071,205169,205380,205697,205280,205435,206795,207847,209379,211687,213410,214582,216593,218459,219232,219856,220883,220807,220865,221004,221049,221434,221707,221590,222104
