Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City Region,555,605,665,700,735,755,750,745,795,885
Glasgow City Region,955,970,1015,1030,1045,1065,1055,1075,1150,1205
Edinburgh and South East Scotland City Region,770,765,820,795,835,845,850,875,1005,1095
"Stirling, Clackmannanshire and Falkirk Region",215,220,235,235,240,240,245,245,270,290
Tay Cities Region,315,315,345,350,350,355,365,370,435,460
Highlands and Islands,240,240,265,275,280,290,285,300,345,360
Ayrshires,170,180,200,195,200,200,200,210,220,225
South of Scotland,130,125,130,135,140,145,145,145,160,180
