Area,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aberdeen City Region,286000,278000,290000,292000,293000,308000,301000,291000,289000,289000
Glasgow City Region,862000,821000,825000,803000,820000,845000,858000,869000,859000,874000
Edinburgh and South East Scotland City Region,637000,616000,635000,632000,628000,650000,650000,659000,664000,683000
"Stirling, Clackmannanshire and Falkirk Region",124000,120000,119000,119000,125000,127000,127000,130000,129000,131000
Tay Cities Region,323000,313000,315000,307000,315000,324000,322000,326000,327000,324000
Highlands and Islands,247000,241000,240000,234000,241000,248000,245000,249000,246000,248000
Ayrshires,136000,134000,133000,128000,129000,132000,133000,136000,134000,134000
South of Scotland,113000,111000,115000,108000,110000,114000,113000,115000,113000,116000
