Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aberdeen City Region,0.69,0.70,0.72,0.74,0.70,0.66,0.64,0.71,0.69,0.69,0.62,0.58
Glasgow City Region,0.61,0.61,0.63,0.63,0.57,0.59,0.53,0.59,0.59,0.59,0.58,0.53
Edinburgh and South East Scotland City Region,0.64,0.64,0.66,0.64,0.59,0.58,0.57,0.62,0.61,0.61,0.61,0.56
"Stirling, Clackmannanshire and Falkirk Region",0.61,0.64,0.67,0.64,0.64,0.58,0.58,0.62,0.63,0.63,0.61,0.55
Tay Cities Region,0.65,0.63,0.66,0.65,0.61,0.59,0.58,0.62,0.63,0.61,0.63,0.56
Highlands and Islands,0.69,0.67,0.69,0.66,0.66,0.64,0.60,0.65,0.66,0.70,0.64,0.56
Ayrshires,0.64,0.60,0.64,0.66,0.61,0.61,0.53,0.61,0.62,0.63,0.59,0.55
South of Scotland,0.68,0.69,0.68,0.65,0.64,0.65,0.58,0.68,0.65,0.64,0.60,0.60
