Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City Region,0.20,0.20,0.23,0.23,0.25,0.25,0.25,0.23,0.23,0.24
Glasgow City Region,0.16,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.19
Edinburgh and South East Scotland City Region,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.17,0.17,0.19
"Stirling, Clackmannanshire and Falkirk Region",0.14,0.17,0.17,0.16,0.15,0.15,0.14,0.16,0.15,0.18
Tay Cities Region,0.11,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.15
Highlands and Islands,0.08,0.09,0.09,0.09,0.09,0.09,0.10,0.10,0.10,0.10
Ayrshires,0.13,0.14,0.15,0.14,0.14,0.15,0.14,0.15,0.16,0.17
South of Scotland,0.09,0.10,0.09,0.09,0.10,0.10,0.09,0.09,0.11,0.11
