Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aberdeen City Region,42.59,37.74,36.74,33.11,34.74,39.32,36.52,37.72,46.77,41.75,43.46,55.18,64.67,71.46,50.81
Glasgow City Region,35.05,31.69,28.40,27.24,29.41,35.29,36.05,32.05,38.92,33.83,35.88,41.29,41.52,44.90,43.84
Edinburgh and South East Scotland City Region,37.13,33.66,30.77,29.87,31.44,36.40,35.79,31.80,36.51,33.95,35.65,41.47,39.68,45.99,42.30
"Stirling, Clackmannanshire and Falkirk Region",30.86,32.88,27.68,25.06,27.81,31.41,33.89,32.11,35.02,30.83,31.72,37.43,36.17,42.13,36.98
Tay Cities Region,32.41,28.70,27.11,25.53,26.61,30.88,31.30,27.26,32.10,29.30,30.89,34.72,34.12,39.06,36.73
Highlands and Islands,36.54,35.55,31.34,30.22,32.82,36.68,34.80,31.71,38.04,34.64,34.32,39.47,40.67,41.85,36.58
Ayrshires,30.81,28.19,26.61,25.13,26.80,29.17,29.06,26.83,30.72,27.17,28.18,31.94,31.94,38.23,34.07
South of Scotland,32.60,32.10,31.22,25.16,33.42,34.44,34.34,31.69,34.87,28.98,32.35,35.06,31.84,34.50,27.91
