Area,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City Region,283653,287714,291407,293971,294979,295364,293976,293143,293523,292597,291636,292674,293851,295779,298951,302940,308014,311043,315289,319495,322995,323762,325504,327218,328466,326369,323119,319833,318211
Glasgow City Region,1183309,1175597,1168511,1164512,1158103,1152774,1147216,1143459,1140579,1136844,1141727,1143346,1142890,1145204,1149326,1152965,1161387,1169157,1176249,1183500,1191494,1187672,1185260,1185927,1190630,1198712,1203887,1206350,1210672
Edinburgh and South East Scotland City Region,781487,780859,783124,786092,789968,790948,793691,797132,800619,806193,810703,814592,817199,823392,832257,839828,849255,856070,860882,867249,876218,875360,875623,877254,882368,890676,896627,900743,906257
"Stirling, Clackmannanshire and Falkirk Region",177224,176989,176977,177254,177653,178568,179512,180153,181071,181493,181800,182978,184274,185569,187749,189533,191565,192329,192739,193382,194989,194132,193748,193332,194429,195139,195489,195111,194991
Tay Cities Region,470948,472393,473425,473471,474063,471610,471165,470880,470718,470585,470950,472391,474449,477409,481807,485378,488859,491756,493722,495793,499707,497399,495555,494096,493416,493592,493574,491759,492143
Highlands and Islands,285964,287194,288647,290446,291254,291077,290668,289968,289649,288503,288412,289905,292431,295142,298272,301922,304517,306304,306259,307110,307773,303074,303596,301450,301117,300732,299334,297728,296408
Ayrshires,238812,238343,237749,237448,237335,236711,236616,236154,235368,234139,234109,233875,234319,235463,235904,236381,237393,237798,237379,237293,237446,234646,232665,230687,229298,228012,226942,225320,224003
South of Scotland,157544,157984,157983,158078,158452,158268,158287,158255,157625,157435,158125,158470,159321,160765,161741,162504,163653,164329,163909,163662,163619,161525,160106,158889,157960,157284,156599,155608,154918
