Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City Region,0.119,0.104,0.108,0.101,0.102,0.095,0.114,0.114,0.114,0.109,0.104,0.102,0.122,0.144,0.123,0.117
Glasgow City Region,0.08,0.081,0.088,0.089,0.097,0.093,0.089,0.102,0.107,0.094,0.109,0.105,0.11,0.116,0.111,0.103
Edinburgh and South East Scotland City Region,0.101,0.1,0.106,0.104,0.099,0.108,0.109,0.112,0.127,0.119,0.112,0.116,0.129,0.103,0.117,0.131
"Stirling, Clackmannanshire and Falkirk Region",0.102,0.096,0.093,0.098,0.09,0.1,0.108,0.108,0.118,0.107,0.111,0.102,0.115,0.111,0.096,0.096
Tay Cities Region,0.09,0.094,0.108,0.103,0.093,0.104,0.1,0.108,0.11,0.102,0.117,0.117,0.134,0.107,0.116,0.143
Highlands and Islands,0.145,0.144,0.148,0.138,0.14,0.13,0.149,0.148,0.157,0.164,0.154,0.139,0.158,0.146,0.16,0.152
Ayrshires,0.101,0.095,0.102,0.103,0.106,0.109,0.112,0.123,0.115,0.12,0.12,0.117,0.133,0.134,0.117,0.129
South of Scotland,0.153,0.149,0.154,0.158,0.165,0.166,0.167,0.172,0.194,0.192,0.19,0.188,0.193,0.197,0.207,0.197
