Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City Region,0.05,0.05,0.07,0.08,0.07,0.07,0.08,0.08,0.07,0.07
Glasgow City Region,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.08
Edinburgh and South East Scotland City Region,0.05,0.06,0.06,0.07,0.06,0.07,0.07,0.07,0.06,0.07
"Stirling, Clackmannanshire and Falkirk Region",0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.04,0.05,0.05
Tay Cities Region,0.03,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.05
Highlands and Islands,0.03,0.03,0.03,0.03,0.02,0.03,0.04,0.03,0.03,0.04
Ayrshires,0.05,0.05,0.06,0.05,0.05,0.05,0.06,0.06,0.07,0.07
South of Scotland,0.03,0.04,0.03,0.04,0.04,0.05,0.05,0.03,0.04,0.04
