Area,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aberdeen City Region,20044,20024,20601,22247,23292,23454,24594,25682,28972,31771,34317,33701,34239,34981,36868,39017,40078,38699,35967,36015,37288
Glasgow City Region,12626,12794,13238,13995,14567,15361,16332,17443,18437,18661,19459,19135,18636,19127,19464,20368,21416,21582,21996,22873,23395
Edinburgh and South East Scotland City Region,15631,15783,16560,17316,18428,19801,21082,22058,23119,24245,24427,24456,24028,24267,24644,25532,26518,27326,28620,29561,30520
"Stirling, Clackmannanshire and Falkirk Region",13752,13893,14524,15314,15957,17122,17999,19439,20484,21002,21340,21272,20766,20884,21402,22778,23139,22891,22947,24033,25517
Tay Cities Region,12726,12751,13180,13522,14157,15024,15641,16041,17405,17839,18289,18171,18198,18488,19172,20033,20898,21209,21793,21683,21634
Highlands and Islands,13007,13659,14039,14800,15105,16413,17560,18559,19291,19602,20609,20584,20859,21837,22258,22884,23518,23499,23849,25200,25498
Ayrshires,8801,8992,9458,9775,10044,10424,10818,11417,12225,12210,12800,12574,12714,12743,12936,13113,13903,14121,14680,15059,15168
South of Scotland,11068,11171,11663,12217,12520,12929,13422,13318,14239,14251,14767,14538,14535,14871,15320,16312,17121,17114,17909,18901,19352
