Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City Region,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03
Glasgow City Region,0.06,0.06,0.06,0.06,0.06,0.09,0.10,0.10,0.10,0.09,0.08,0.07,0.05,0.05,0.05,0.04
Edinburgh and South East Scotland City Region,0.05,0.05,0.05,0.05,0.05,0.07,0.07,0.08,0.07,0.07,0.06,0.06,0.04,0.04,0.04,0.03
"Stirling, Clackmannanshire and Falkirk Region",0.05,0.05,0.05,0.04,0.05,0.07,0.08,0.08,0.08,0.08,0.06,0.06,0.05,0.04,0.04,0.04
Tay Cities Region,0.06,0.05,0.06,0.05,0.05,0.07,0.08,0.08,0.08,0.08,0.06,0.06,0.05,0.04,0.05,0.04
Highlands and Islands,0.04,0.04,0.04,0.03,0.04,0.05,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03
Ayrshires,0.07,0.07,0.07,0.06,0.06,0.09,0.10,0.11,0.11,0.11,0.08,0.08,0.06,0.06,0.05,0.05
South of Scotland,0.04,0.04,0.04,0.04,0.04,0.05,0.06,0.07,0.07,0.07,0.05,0.04,0.04,0.03,0.03,0.03
