Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City Region,227700,234400,244300,246600,247500,253200,257100,253000,259200,259100,260900,263600,248900,259000,256400,266600
Glasgow City Region,793600,798200,813900,824000,818600,809600,799300,810400,802700,815200,828400,852700,873500,870200,870500,880000
Edinburgh and South East Scotland City Region,624500,629700,634800,643500,648500,629600,622300,628500,639100,635100,663600,654700,663300,690700,697900,692900
"Stirling, Clackmannanshire and Falkirk Region",137400,137400,139700,142000,142600,138200,140100,137100,136200,140600,141800,142700,145800,146700,146900,146000
Tay Cities Region,354300,359700,363800,363200,365800,358400,358400,354400,355300,350900,359900,364300,370800,367400,371800,373800
Highlands and Islands,232900,232500,237700,242000,244100,245200,242900,239400,233200,237200,243500,244800,242300,245200,244800,242000
Ayrshires,163100,165200,166900,170000,170100,161900,160400,155500,158200,157200,166800,160700,156600,163500,160400,166100
South of Scotland,124700,123900,127100,126800,127100,125300,120400,117800,117300,120100,124900,125800,122900,125100,118900,123300
