Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aberdeen City Region,40.52,50.28,44.54,69.00,51.91,41.65,48.91,60.30,62.28,70.37,62.24,54.44,57.71,56.48,55.13
Glasgow City Region,31.73,37.36,33.03,39.65,35.78,33.85,34.76,36.53,37.77,47.24,46.99,50.90,51.86,47.68,46.94
Edinburgh and South East Scotland City Region,37.28,40.99,37.37,42.68,39.13,36.07,38.44,40.10,39.80,51.00,50.55,53.79,53.80,48.79,48.67
"Stirling, Clackmannanshire and Falkirk Region",34.56,40.18,35.13,41.90,39.11,31.41,35.75,36.61,37.05,45.43,45.05,43.24,42.33,39.95,42.49
Tay Cities Region,31.51,35.06,32.53,37.57,33.38,30.08,29.57,31.85,33.80,42.44,41.52,41.32,43.53,41.58,39.23
Highlands and Islands,38.67,48.40,39.50,42.00,39.80,34.79,33.80,36.06,38.54,45.52,45.55,43.90,43.74,42.71,39.39
Ayrshires,30.14,33.83,30.08,33.67,30.72,27.05,26.79,30.22,29.59,37.20,38.70,38.42,43.29,39.69,35.20
South of Scotland,35.67,43.34,35.18,39.94,34.33,29.65,28.66,31.69,28.76,37.58,39.59,34.38,34.77,30.45,31.29
