Area,2016,2017
Aberdeen City Region,2000,1995
Glasgow City Region,3510,4095
Edinburgh and South East Scotland City Region,3290,3665
"Stirling, Clackmannanshire and Falkirk Region",1750,2370
Tay Cities Region,2090,2025
Highlands and Islands,840,1005
Ayrshires,685,645
South of Scotland,485,540
