Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aberdeen City Region,28,36,33,31,44,43,60,64,79,65,105,86,123,181,178,166,160,171
Glasgow City Region,,,,,,,,,,,185,174,197,203,211,277,343,
Edinburgh and South East Scotland City Region,,,,,,178,,216,229,250,,,375,460,451,455,618,715
"Stirling, Clackmannanshire and Falkirk Region",,,,,10,6,15,12,,17,15,,12,16,11,22,22,23
Tay Cities Region,59,,52,72,69,63,67,69,67,65,70,73,67,72,76,103,81,104
Highlands and Islands,,,,,,,,,,,,,,,,,,
Ayrshires,,3,,4,4,4,6,6,14,8,9,12,11,11,,17,18,20
South of Scotland,2,3,5,6,4,5,15,7,6,10,10,12,12,11,12,13,14,14
