Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City Region,0.76,0.78,0.80,0.79,0.79,0.79,0.80,0.77,0.79,0.78,0.78,0.79,0.74,0.79,0.77,0.80
Glasgow City Region,0.69,0.69,0.70,0.71,0.70,0.68,0.67,0.68,0.67,0.68,0.69,0.71,0.72,0.71,0.71,0.72
Edinburgh and South East Scotland City Region,0.75,0.75,0.75,0.75,0.75,0.73,0.71,0.72,0.72,0.72,0.75,0.74,0.73,0.76,0.77,0.76
"Stirling, Clackmannanshire and Falkirk Region",0.74,0.73,0.74,0.74,0.75,0.72,0.72,0.71,0.70,0.72,0.73,0.73,0.74,0.74,0.74,0.74
Tay Cities Region,0.73,0.74,0.74,0.74,0.74,0.72,0.72,0.71,0.70,0.70,0.72,0.72,0.73,0.73,0.74,0.75
Highlands and Islands,0.79,0.78,0.78,0.79,0.79,0.79,0.78,0.76,0.76,0.76,0.78,0.79,0.78,0.79,0.79,0.78
Ayrshires,0.68,0.70,0.70,0.71,0.71,0.67,0.67,0.64,0.66,0.66,0.70,0.69,0.67,0.71,0.70,0.73
South of Scotland,0.76,0.76,0.77,0.76,0.76,0.75,0.72,0.71,0.70,0.72,0.75,0.76,0.74,0.76,0.73,0.76
