Area,2016,2017
Aberdeen City Region,6915,6270
Glasgow City Region,7780,8665
Edinburgh and South East Scotland City Region,7765,8485
"Stirling, Clackmannanshire and Falkirk Region",2630,3425
Tay Cities Region,3785,3725
Highlands and Islands,2115,2275
Ayrshires,1610,1565
South of Scotland,705,785
