Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City Region,0.018,0.018,0.017,0.017,0.018,0.018,0.018,0.02,0.02,0.02,0.02,0.021,0.024,0.022,0.024,0.022
Glasgow City Region,0.009,0.009,0.009,0.009,0.01,0.01,0.01,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.012,0.011
Edinburgh and South East Scotland City Region,0.01,0.011,0.011,0.011,0.011,0.012,0.012,0.012,0.012,0.012,0.012,0.013,0.014,0.014,0.013,0.013
"Stirling, Clackmannanshire and Falkirk Region",0.017,0.017,0.017,0.018,0.019,0.019,0.019,0.021,0.02,0.02,0.019,0.019,0.02,0.02,0.02,0.02
Tay Cities Region,0.013,0.012,0.012,0.012,0.013,0.014,0.014,0.014,0.014,0.015,0.015,0.016,0.017,0.016,0.015,0.016
Highlands and Islands,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.015,0.015,0.015,0.015,0.015,0.016,0.015,0.016,0.017
Ayrshires,0.015,0.014,0.015,0.015,0.015,0.016,0.017,0.017,0.018,0.018,0.017,0.019,0.02,0.019,0.02,0.02
South of Scotland,0.016,0.017,0.017,0.018,0.019,0.02,0.02,0.022,0.021,0.02,0.019,0.019,0.022,0.022,0.024,0.024
