Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City Region,6900,5800,7000,6700,8200,7300,8700,8700,8400,6300,9200,7200,11400,14100,11000,10400
Glasgow City Region,15800,15600,17200,18600,21800,22700,19200,20500,25800,24600,25600,28600,29300,26400,26000,30200
Edinburgh and South East Scotland City Region,16800,20300,22000,20400,21100,23900,24900,23600,25500,26500,30500,29800,31600,27500,27100,35400
"Stirling, Clackmannanshire and Falkirk Region",4000,4300,4100,4300,3200,4000,4800,4300,5000,5600,5500,4900,6200,6300,4100,6300
Tay Cities Region,9000,11100,12500,11600,11500,12800,11100,12400,12100,12500,16700,16300,17600,16200,14800,20100
Highlands and Islands,11100,11000,10100,10900,11400,10100,11900,11300,12600,13400,12900,12000,12800,13100,13700,11500
Ayrshires,4000,3800,4200,5100,5000,4900,5500,5700,5900,6600,6700,6100,7000,8000,6400,6900
South of Scotland,4500,4300,5100,5600,6300,5300,5600,6600,6900,7400,7200,8300,7800,7800,8400,8200
