Area,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City Region,429990,436110,441350,445060,445950,445340,443320,441870,441870,440360,438850,439510,440530,442510,446260,450810,456860,460850,466040,471160,476110,480470,484840,489450,492310,492030,490600,489030,489880
Glasgow City Region,1818920,1810050,1802800,1799070,1790780,1781380,1772240,1766000,1758990,1750610,1750210,1748090,1743650,1743070,1744800,1745990,1753530,1761430,1769670,1777300,1787020,1789540,1790510,1795890,1804380,1817860,1827240,1834180,1845020
Edinburgh and South East Scotland City Region,1196520,1197180,1202190,1207970,1213690,1214230,1217280,1220500,1224530,1231090,1235900,1238080,1238660,1244310,1252970,1261110,1272390,1282340,1291520,1301830,1315790,1323670,1330500,1339410,1349910,1364860,1375880,1384950,1396640
"Stirling, Clackmannanshire and Falkirk Region",271530,271620,272060,272850,273670,274660,275950,276970,278260,278980,279540,280690,282030,283900,286800,288720,291350,293020,294190,296010,298080,299090,299670,300400,302650,304480,305580,306070,306640
Tay Cities Region,738680,742070,744740,746170,746960,743330,741870,740590,739760,738770,738550,739050,740100,743220,748460,752500,757120,761950,765790,769680,775550,777950,779060,781050,783120,785800,787500,787990,791020
Highlands and Islands,452680,454240,456160,458800,459630,459010,457950,457150,456780,455160,454850,456150,459320,463090,467750,472030,476370,480220,482520,484920,487480,485030,487500,487550,488450,489920,489800,489330,489430
Ayrshires,375200,374610,374480,374350,374210,373150,372750,371790,370560,368770,368290,367500,367710,368550,369000,369330,370750,372120,372430,372810,373760,373220,372240,371140,370590,370560,370410,369670,369360
South of Scotland,251000,252190,252980,253580,254460,254380,254480,254780,254040,253790,254730,255200,256250,258150,259870,260630,262570,264370,264750,264800,265290,264560,264160,264000,263700,264050,264220,264060,264370
