Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aberdeen City Region,485,604,527,587,700,757,644,630,638,724,1078,1172,1202,2047,1901,2043,2017,2134
Glasgow City Region,,,,,,,,,,,2395,2406,2820,2699,3017,3254,3406,
Edinburgh and South East Scotland City Region,3909,3239,,2862,2672,2540,,2801,2957,3246,,,4250,4572,5261,5121,5807,6953
"Stirling, Clackmannanshire and Falkirk Region",,,,,186,122,199,173,,263,190,,216,317,247,309,321,371
Tay Cities Region,900,,885,1011,970,822,845,898,793,863,825,795,434,984,1149,1339,1309,1542
Highlands and Islands,,,,,,,,,,,,,,,,,,
Ayrshires,,85,,96,85,81,127,125,161,212,182,232,207,208,,324,358,385
South of Scotland,62,77,106,110,86,111,121,139,122,176,187,223,219,232,209,232,285,265
