Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City Region,0.35,0.36,0.36,0.35,0.35,0.35,0.35,0.36,0.37,0.37
Glasgow City Region,0.28,0.28,0.29,0.30,0.30,0.31,0.30,0.30,0.30,0.31
Edinburgh and South East Scotland City Region,0.32,0.33,0.34,0.33,0.34,0.34,0.34,0.34,0.34,0.34
"Stirling, Clackmannanshire and Falkirk Region",0.37,0.36,0.36,0.36,0.37,0.37,0.37,0.36,0.35,0.35
Tay Cities Region,0.39,0.40,0.41,0.40,0.41,0.41,0.40,0.40,0.40,0.40
Highlands and Islands,0.53,0.53,0.54,0.54,0.53,0.53,0.52,0.52,0.52,0.52
Ayrshires,0.42,0.42,0.42,0.43,0.44,0.44,0.44,0.44,0.43,0.44
South of Scotland,0.56,0.56,0.57,0.57,0.57,0.57,0.56,0.56,0.55,0.55
