AREA,Gross Value Added,VAT/PAYE registered enterprises,Small businesses,VAT/PAYE (Business Births),"VAT/PAYE (Business Births) per 10,000 adults",VAT/PAYE (Business Deaths),"VAT/PAYE (Business Deaths) per 10,000 adults",3-year business survival,3-year business survival rate,Foreign-owned enterprises,Foreign-owned enterprises (EU),Foreign-owned business jobs,Foreign-owned business jobs (EU),International Exports Value,International Exports Value (EU),BERD,BERD Jobs,High growth enterprises,VAT/PAYE Businesses Jobs,Employment,Working age employment rate,Working age employment rate (95% CI),Self-employed,Self-employed rate,Self-employed (95% CI),Self-employed Females,Self-employed Females rate,Self-employed Females rate (95% CI),Unemployment,Unemployment rate,Unemployment rate (95% CI),Median gross weekly pay (RA),Median gross weekly pay (RA) (SE),Median gross weekly pay (WE),Median gross weekly pay (WE) (SE),Population,Population (16+),Population (16-64)
Aberdeen City Region,37288,"23,580",0.37,2235,55.13,2060,50.81,1285,0.58,885,340,0.24,0.07,6270,1995,171.205,2134,255,289000,266600,0.8,0.022,31200,0.117,0.02,10400,0.084,0.024,7400,0.027,,,,,,489880,405441,318211
Glasgow City Region,23395,"51,395",0.31,7175,46.94,6700,43.84,4060,0.53,1205,530,0.19,0.08,8665,4095,,,780,874000,880000,0.722,0.011,90500,0.103,0.009,30200,0.068,0.01,36400,0.04,,,,,,1845020,1528429,1210672
Edinburgh and South East Scotland City Region,30520,"46,060",0.34,5650,48.67,4910,42.3,3380,0.56,1095,460,0.19,0.07,8485,3665,714.538,6953,695,683000,692900,0.758,0.013,90700,0.131,0.012,35400,0.104,0.015,21800,0.031,,,,,,1396640,1160851,906257
"Stirling, Clackmannanshire and Falkirk Region",25517,"9,410",0.35,1080,42.49,940,36.98,600,0.55,290,135,0.18,0.05,3425,2370,22.973,371,165,131000,146000,0.738,0.02,14100,0.096,0.016,6300,0.086,0.02,5600,0.036939314,,,,,,306640,254165,194991
Tay Cities Region,21634,"24,155",0.4,2585,39.23,2420,36.73,1510,0.56,460,195,0.15,0.05,3725,2025,103.939,1542,330,324000,373800,0.748,0.016,53600,0.143,0.014,20100,0.111,0.018,14800,0.038,,,,,,791020,658858,492143
Highlands and Islands,25498,"22,985",0.52,1610,39.39,1495,36.58,1075,0.56,360,165,0.1,0.04,2275,1005,,,250,248000,242000,0.777,0.017,36700,0.152,0.016,11500,0.103,0.02,6900,0.028,,,,,,489430,409309,296408
Ayrshires,15168,"10,545",0.44,1085,35.2,1050,34.07,655,0.55,225,105,0.17,0.07,1565,645,20.308,385,165,134000,166100,0.728,0.02,21400,0.129,0.018,6900,0.085,0.021,7900,0.045,,,,,,369360,308231,224003
South of Scotland,19352,"11,870",0.55,695,31.29,620,27.91,455,0.6,180,70,0.11,0.04,785,540,13.722,265,135,116000,123300,0.756,0.024,24300,0.197,0.025,8200,0.136,0.03,3900,0.031,,,,,,264370,222104,154918
Scotland,26134,178780,0.36,20590,46,18706,41.4,12070,0.56,2870,1225,0.18,0.07,32440,14850,1355.92,14747,1880,2612000,"2,663,900",0.75,0.01,"329,600",0.12,0.01,"116,900",0.09,0.01,"95,800",0.04,0.003,577.7,0.7,576.7,0.7,"5,463,300","4,541,903","3,497,758"
