Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City Region,9900,9400,9000,7800,7700,8900,11500,12900,11100,10600,9900,9800,11700,9400,10400,7400
Glasgow City Region,52600,54000,51500,47700,50300,75900,85300,89100,88000,83400,67700,64100,48300,42700,43900,36400
Edinburgh and South East Scotland City Region,31800,32600,33700,30600,31800,45200,48300,52200,49700,50500,40400,38600,30600,25200,29200,21800
"Stirling, Clackmannanshire and Falkirk Region",7300,7200,7600,6700,6900,10900,11400,12600,12500,12100,9600,8600,7000,6500,6000,5600
Tay Cities Region,20800,20500,21200,20000,20200,27300,30400,31800,32500,31700,24500,23600,18700,15400,17400,14800
Highlands and Islands,9500,9600,9700,8400,9000,11500,12400,14100,12500,12900,11100,9600,9200,8300,7400,6900
Ayrshires,12200,11500,11700,10700,11300,16700,17800,19600,19700,19200,14500,13600,10800,9700,9100,7900
South of Scotland,4800,5100,5500,4900,5500,7000,7700,9000,9100,8300,6800,5800,5400,4000,3800,3900
