Area,2013,2014,2015,2016,2017,2018,2019
Aberdeen City Region,290,360,440,440,325,255,255
Glasgow City Region,490,595,700,780,845,765,780
Edinburgh and South East Scotland City Region,465,490,600,680,705,650,695
"Stirling, Clackmannanshire and Falkirk Region",120,115,135,145,175,170,165
Tay Cities Region,240,255,330,335,340,315,330
Highlands and Islands,215,240,290,310,295,275,250
Ayrshires,115,135,160,155,165,160,165
South of Scotland,105,100,140,145,150,125,135
