Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City Region,190,205,225,245,255,265,295,300,285,340
Glasgow City Region,410,430,435,450,460,475,480,490,500,530
Edinburgh and South East Scotland City Region,325,330,340,345,355,360,375,375,425,460
"Stirling, Clackmannanshire and Falkirk Region",105,100,95,105,105,110,110,110,115,135
Tay Cities Region,135,130,130,140,140,140,160,165,180,195
Highlands and Islands,105,100,105,115,105,115,120,130,145,165
Ayrshires,75,80,85,85,85,85,90,90,100,105
South of Scotland,55,50,55,60,60,65,65,60,65,70
