Area,2013,2014,2015,2016,2017,2018,2019
Islands & Remote Rural,85,85,120,115,125,105,80
Mainly Rural,440,505,645,680,645,570,590
Urban with Substantial Rural areas,530,605,710,760,815,740,770
Larger Cities,575,685,870,955,950,825,845
