Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Islands & Remote Rural,3300,3300,3400,3000,3100,4000,4400,4900,4200,4200,3700,3100,2800,2200,2000,2000
Mainly Rural,30200,30500,30900,28100,29200,38900,44100,49700,47500,45700,38300,33700,31700,27900,26100,22700
Urban with Substantial Rural areas,58000,58800,59200,54900,57600,86400,94000,100800,98500,96400,73500,69300,53700,46900,48400,41400
Larger Cities,45500,44900,43400,38700,40100,56400,63100,66000,64800,63100,54300,53300,42200,34900,40600,29600
