Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Islands & Remote Rural,11900,12300,12600,13100,12200,11200,12800,11600,12600,13300,12600,13000,12600,12900,14400,13600
Mainly Rural,92900,87900,96000,96500,97400,96300,100500,103000,105300,105700,109600,102700,110400,114700,109700,113100
Urban with Substantial Rural areas,87800,87600,94600,94400,92700,94700,97500,104100,109600,100200,111700,106500,122800,109400,120200,111500
Larger Cities,54700,55700,61200,60300,66100,63300,60400,65500,74100,68800,68800,75800,83600,88200,77100,91500
