Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Islands & Remote Rural,0.71,0.65,0.71,0.67,0.62,0.60,0.57,0.65,0.65,0.68,0.64,0.58
Mainly Rural,0.68,0.67,0.68,0.69,0.66,0.64,0.61,0.66,0.66,0.66,0.63,0.59
Urban with Substantial Rural areas,0.63,0.63,0.66,0.65,0.61,0.60,0.57,0.63,0.62,0.61,0.61,0.56
Larger Cities,0.62,0.61,0.63,0.63,0.57,0.56,0.54,0.60,0.59,0.61,0.57,0.52
