Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Islands & Remote Rural,,,,,,,,,,,,,,,,,,
Mainly Rural,,,,,683,721,,701,,1032,,,1028,1198,,1430,1719,1706
Urban with Substantial Rural areas,,,,,,,,,,,3091,3529,4104,3733,4115,4186,4472,
Larger Cities,3514,3036,2702,3037,2771,2781,3324,3030,3215,3369,3540,3620,4033,5913,6462,6816,6986,8079
