Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Islands & Remote Rural,75,75,75,80,80,85,80,75,90,100
Mainly Rural,485,490,560,580,590,615,630,645,735,795
Urban with Substantial Rural areas,860,865,915,930,950,975,955,965,1060,1120
Larger Cities,1160,1210,1270,1280,1325,1365,1360,1405,1530,1695
