Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Islands & Remote Rural,0.153,0.158,0.156,0.162,0.152,0.143,0.168,0.155,0.171,0.171,0.159,0.166,0.157,0.166,0.183,0.176
Mainly Rural,0.135,0.127,0.135,0.134,0.134,0.133,0.14,0.145,0.148,0.148,0.151,0.139,0.153,0.155,0.15,0.152
Urban with Substantial Rural areas,0.085,0.085,0.09,0.089,0.089,0.092,0.096,0.103,0.107,0.098,0.106,0.102,0.115,0.102,0.111,0.104
Larger Cities,0.086,0.085,0.093,0.09,0.097,0.095,0.09,0.096,0.11,0.101,0.098,0.105,0.115,0.118,0.103,0.119
