Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Islands & Remote Rural,0.06,0.07,0.05,0.07,0.07,0.08,0.09,0.08,0.09,0.09
Mainly Rural,0.10,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.13,0.13
Urban with Substantial Rural areas,0.17,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.18,0.20
Larger Cities,0.16,0.17,0.18,0.19,0.19,0.19,0.20,0.19,0.19,0.21
