Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Islands & Remote Rural,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.03,0.03,0.03
Mainly Rural,0.03,0.04,0.04,0.04,0.03,0.03,0.05,0.04,0.04,0.04
Urban with Substantial Rural areas,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
Larger Cities,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08
