Area,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Islands & Remote Rural,130411,129277,129170,129961,130171,130088,129857,129448,129179,128241,128325,128543,129109,129734,130489,131940,132644,132599,133001,133185,134193,132608,134053,133879,133447,133786,133532,133169,132840
Mainly Rural,1080618,1090828,1097395,1103730,1108095,1108957,1110280,1111966,1113966,1115285,1118913,1126640,1136764,1150491,1163122,1175732,1190936,1205514,1213597,1223057,1231831,1235916,1240942,1246574,1251810,1255413,1257260,1257724,1261294
Urban with Substantial Rural areas,1676305,1675551,1675639,1678024,1681219,1681202,1685630,1688413,1690905,1695316,1701436,1710659,1718569,1729255,1739696,1749436,1761700,1772606,1780909,1789768,1801379,1806336,1809747,1816071,1823060,1833121,1840508,1843773,1850929
Larger Cities,1175047,1167776,1162581,1157992,1155650,1152959,1147558,1144654,1142504,1139335,1145152,1142373,1137953,1137075,1144852,1149660,1161073,1170540,1184166,1198370,1216394,1224114,1231379,1240035,1252421,1266463,1276058,1283932,1296840
