Area,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Islands & Remote Rural,164900,163190,162900,163570,163540,162930,162230,161500,160780,159310,158930,158700,158850,159150,159590,160470,160930,160410,160610,160500,161280,159210,160210,159700,158830,159080,158840,158270,157780
Mainly Rural,1360100,1372000,1380910,1389440,1392980,1392240,1391550,1392110,1392790,1390970,1391630,1396230,1403810,1416750,1429200,1441180,1456580,1471510,1479110,1487140,1495280,1497690,1501250,1505990,1510980,1514390,1515270,1515500,1518630
Urban with Substantial Rural areas,2123120,2120450,2121420,2125120,2126890,2122720,2124530,2124840,2125640,2127260,2128540,2132070,2134910,2142050,2150400,2157860,2168520,2177950,2185140,2192340,2202680,2206310,2207090,2212610,2219480,2230880,2238950,2243110,2250850
Larger Cities,1435210,1429980,1427230,1424080,1420280,1414300,1405030,1398620,1392740,1385400,1385100,1379000,1370930,1366350,1371010,1373490,1383970,1393030,1407040,1422220,1440660,1450390,1459150,1469300,1483710,1500350,1511740,1521220,1536040
