Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Islands & Remote Rural,,,,,,,,,,,,,,,,,,
Mainly Rural,,,,,,,,55.13,,85.01,,,79.28,90.27,,100.30,110.47,109.32
Urban with Substantial Rural areas,,,,,,,,,,,257.91,274.18,299.31,316.60,320.17,349.40,370.97,
Larger Cities,280.09,243.93,215.43,201.46,207.97,209.88,267.87,246.61,267.90,255.93,323.15,339.39,419.76,547.02,542.51,598.63,763.98,835.94
